video_id,video_title,video_published_at,video_views,video_likes,video_comments
PEvEwRO3V-w,One of the best to grace the #T20WorldCup is Chamari Athapaththu 🙌 #CricketShorts #YTShorts,2024-09-26T07:04:47Z,14011,826,17
jd9GrEZP6lM,Nathan McCullum seals thrilling win for New Zealand over Sri Lanka | T20WC 2010,2024-04-30T06:37:54Z,105558,1193,74
IX5bl-faEtU,Women’s #T20WorldCup No.6️⃣ ft. Australia 🏆 #cricket,2024-02-26T05:56:02Z,29872,1551,23
TwKi0plOAcQ,What a way to secure the win! 💥 #INDvIRE #T20WorldCup,2024-06-05T17:54:14Z,5345563,157991,559
q3YC4Zbtok4,"Great wicket, better celebration 🤣 #cricket #cricketshorts #ytshorts #t20worldcup",2024-06-17T05:00:42Z,472718,22352,290
yBIeBAe__uU,Deandra Dottin – the best bowling figures in ICC Women’s #T20WorldCup history 👊 #cricket #ytshorts,2024-08-29T12:31:00Z,54594,1791,25
yWV4qDouLBk,Scotland v Sri Lanka | Final | Match Highlights | Women’s T20WC Qualifier 2024,2024-05-07T23:58:49Z,311892,2839,128
YZIDpEpGSFQ,It’s been a month already 🇮🇳 🏆 #T20WorldCup #cricket #ytshort,2024-07-29T12:00:36Z,1163024,91731,522
Zu9ykAzc8aw,Charith Asalanka 🤝 T20I captaincy 🇱🇰 #cricket #cricketshorts #ytshorts,2024-07-25T04:42:25Z,62720,3624,107
fa9X-7dsAq4,Ravi Shastri picks favourite moments from #T20WorldCup 2024 👌#cricket #cricketreels #ICCReview,2024-08-05T13:35:18Z,30553,2015,24
wXy4Vq2A4LM,South Africa are eyeing off #T20WorldCup silverware 🏆  #cricket #ytshorts #cricketshorts,2024-06-28T15:41:04Z,1376230,75729,881
rYf1sS-nKK0,Pakistan bring out the style and splendour 😎 #T20WorldCup #WhateverItTakes,2024-09-29T06:00:34Z,16235,849,50
0PnH6MSCPjM,When a boot helped Australia to a #T20WorldCup 2010 victory 🏆 #YTShorts #CricketShorts,2024-09-24T03:05:19Z,60017,2883,14
r6KnjjfvfRo,"So close, yet so far for Nepal 💔#T20WorldCup #YTShorts #CricketShorts",2024-06-15T16:26:05Z,200957,14686,247
uN5Yn8PXvMA,Ireland have their game face on 🔛#Cricket #CricketShorts #YTShorts #T20WorldCup,2024-06-05T07:32:55Z,42477,3004,47
XNsRjFZNjJ0,India skipper Harmanpreet Kaur wears the predictor’s hat 🔮🎩#T20WorldCup #WhateverItTakes #ytshorts,2024-09-24T09:32:39Z,28105,1249,25
IoevRVNzTSA,Rising stars to watch out for during ICC Men&#39;s #T20WorldCup 2024 ⭐,2024-02-24T13:30:06Z,1341932,72229,814
JE959-VJYJA,You can count on Nigar Sultana Joty for Bangladesh at the #T20WorldCup 👊 #YTShorts #CricketShorts,2024-09-19T06:30:38Z,11177,645,13
ti92-GoRG9Q,Scotland&#39;s Kathryn Bryce was on 🔥 #cricket #cricketshorts  #ytshorts  #t20worldcup #cricketlover,2024-04-29T23:59:12Z,53383,1995,24
Dj9Ah22pXn8,Holding the #T20WorldCup trophy is a dream worth fighting for Harmanpreet Kaur💪#WhateverItTakes,2024-09-25T09:00:18Z,13872,1044,22
AvXPMUSXK6g,Brute power from Rilee Rossouw 💪 #cricket #cricketshorts #ytshorts #t20worldcup,2024-07-22T04:02:59Z,63776,2811,45
_zegt-vcFck,Ravi Shastri calls it – Rishabh Pant was India’s surprise package at #T20WorldCup 2024 😮 #Cricket,2024-07-31T11:25:34Z,38446,2365,40
shXcQytYKs0,Rilee Rossouw sizzles with quick-fire ton | T20 World Cup,2024-05-23T14:30:20Z,129141,2767,141
I8gh-2FmAiw,South Africa&#39;s pace ace Marizanne Kapp in action | WT20WC,2024-09-15T13:30:12Z,26899,249,11
9Sf-igXoUGY,"Your new No.1 T20I All-Rounder, Liam Livingstone 😤 #YTShorts #CricketShorts",2024-09-19T03:39:26Z,32411,1727,35
LKCFPa5PbSg,A generation of world-class #T20WorldCup moments from Ellyse Perry 🙌 #YTShorts #CricketShorts,2024-09-16T05:23:09Z,42301,1809,20
bP0i3dvdoyk,Brute power from Mitch Marsh 💪 #cricket #ytshorts #cricketshorts #t20worldcup,2024-02-22T06:24:41Z,80066,4441,51
Y8z8F5eJUas,Elegance personified from Naseem Shah 😎 #cricket #cricketshorts #t20worldcup,2024-02-21T05:19:39Z,474078,21217,387
1AkzAtcfKMM,Melie Kerr is box office #T20WorldCup viewing 🍿 #YTShorts #CricketShorts,2024-09-20T00:45:58Z,16101,853,8
SwWI7udDrdQ,"Ottneil Baartman, the man for pressure moments 👏#T20WorldCup #YTShorts #CricketShorts",2024-06-15T16:58:21Z,108096,4666,29
BNmmjvDI9cc,Classic Shaheen Afridi 🤩 #T20WorldCup #YTShorts,2024-06-16T15:33:05Z,437223,15722,442
SrMVD4g7mBo,Heather Knight in full flight 💥 #cricket #cricketshorts #ytshorts #t20worldcup,2024-07-18T02:40:06Z,60701,1935,23
g5PRWSEQ3mQ,An outfield stunner from Mohammed Siraj 😲 #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-13T00:04:11Z,5369993,150780,344
V95i8Bf4xIY,Heather Knight&#39;s starring century | WT20WC 2020,2024-09-09T05:57:00Z,11801,233,18
Kssuzj1Bnsk,Anrich Nortje has the last laugh 🙌 #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-20T01:24:40Z,248107,10727,42
